,Electricity Price,Wind Power,Solar Power,HPP Power,Curtailed Power,Battery SOC,Battery Power
2621,42.861,88.99878990649228,0.9038533906756546,87.85703378129551,0.0,121.79104477611939,-2.0456095158724192
2622,42.861,96.5448819804204,9.409249809397032,103.90852227394502,0.0,123.8059701492537,-2.0456095158724192
2623,43.726,124.1347760885008,28.137436872715956,150.22660344534432,0.0,125.82089552238803,-2.045609515872421
2624,36.659,100.13420746175464,63.18039284651194,161.26899079239416,0.0,127.83582089552235,-2.0456095158724192
2625,35.087,84.28938361350988,97.63573878757407,179.87951288521154,0.0,129.85074626865668,-2.0456095158724192
2626,34.292,89.8327829818533,111.21011039238891,198.9972838583698,0.0,131.865671641791,-2.0456095158724192
2627,32.665,97.98917578367103,111.63878647074381,207.58235273854243,0.0,133.88059701492534,-2.0456095158724175
2628,32.665,62.07943612366524,101.77508654899687,161.80891315678969,0.0,135.89552238805967,-2.0456095158724175
2629,33.649,51.469792638666455,90.45438257622015,139.8785656990142,0.0,137.910447761194,-2.0456095158724175
2630,34.948,45.65894596208035,82.61685307412232,126.23018952033024,0.0,139.92537313432834,-2.045609515872421
2631,36.413,53.08715201946441,68.07318944882212,119.11473195241412,0.0,141.94029850746267,-2.045609515872414
2632,41.852,30.46021846367912,42.464932529513284,70.87954147731999,0.0,143.955223880597,-2.045609515872414
2633,44.03,24.411816839718064,17.916058852936974,40.28226617678263,0.0,145.97014925373134,-2.045609515872414
2634,54.272,41.78008022943873,3.717481596144874,43.45195230971119,0.0,147.98507462686567,-2.045609515872414
2635,61.132,46.309756170351406,0.0,95.5597561703514,0.0,150.0,49.25
2636,61.125,53.54175471063903,0.0,102.79175471063903,0.0,100.0,49.25
2637,56.925,28.019864274313573,0.0,30.462022682266326,0.0,50.0,2.4421584079527534
2638,51.18,13.94890793782512,0.0,0.0,0.0,47.520651362484514,-13.948907937825117
2639,44.186,24.510000084754214,0.0,10.561092146929097,0.0,61.26032568124226,-13.948907937825117
2640,53.567,17.500823917435834,0.0,29.320823917435842,0.0,75.0,11.820000000000007
2641,53.567,13.603785386520375,0.0,25.423785386520382,0.0,63.0,11.820000000000007
2642,53.567,19.954824139050224,0.0,31.774824139050235,0.0,50.99999999999999,11.820000000000011
2643,53.567,23.76245387136587,0.0,35.582453871365885,0.0,38.99999999999999,11.820000000000013
2644,53.567,36.831621177433334,0.0,48.65162117743335,0.0,26.999999999999986,11.820000000000014
2645,54.144,36.6056708926658,1.7071745465871515,38.31284543925295,0.0,14.999999999999972,0.0
2646,53.063,35.59481003443704,12.444998868962571,36.618489106445296,0.0,14.999999999999972,-11.421319796954315
2647,49.401,47.35511251790795,49.43452066813395,85.36831338908758,0.0,26.24999999999997,-11.421319796954315
2648,38.268,46.89386338177686,76.88399946996557,112.35654305478812,0.0,37.49999999999997,-11.421319796954316
2649,36.401,49.709257214408574,81.35652403789739,119.64446145535163,0.0,48.74999999999996,-11.421319796954318
2650,34.398,20.1570944976863,88.39282723355018,97.12860193428216,0.0,59.99999999999994,-11.421319796954318
2651,33.344,21.402586006550003,106.32578958408436,116.30705579368004,0.0,71.24999999999996,-11.421319796954318
2652,33.344,31.115005658247107,116.20270364683935,135.89638950813213,0.0,82.49999999999997,-11.421319796954318
